Date,Region,District,Crop,Seed_Price_Per_Kg,Fertilizer_Price_Per_Kg,Herbicide_Price_Per_Litre,Pesticide_Price_Per_Litre,Labor_Cost_Per_Day,Rainfall_Index,Soil_Fertility_Index
2018-01-01,Central,Kampala,Maize,4537,3098,9104,14024,6533,67,0.78
2018-01-01,Northern,Kitgum,Groundnuts,2585,2340,7920,11518,4233,21,0.49
2018-01-01,Northern,Arua,Sorghum,2560,1927,9251,11274,3974,12,0.64
2018-01-01,Northern,Gulu,Sorghum,2798,2094,10348,12543,3762,23,0.66
2018-01-01,Northern,Lira,Sorghum,2071,1816,9823,11888,4535,20,0.65
2018-01-01,Northern,Arua,Sweet Potatoes,2749,1509,9015,10816,3600,19,0.55
2018-01-01,Northern,Gulu,Sweet Potatoes,2844,2053,10388,11059,3998,26,0.7
2018-01-01,Northern,Gulu,Groundnuts,2437,2050,9253,8880,4645,25,0.54
2018-01-01,Northern,Nebbi,Sweet Potatoes,2221,2015,10629,9857,4196,20,0.46
2018-01-01,Northern,Nebbi,Cotton,2814,2066,9556,8435,3990,12,0.59
2018-01-01,Northern,Lira,Cotton,2653,2085,6777,11265,4506,18,0.61
2018-01-01,Northern,Arua,Soybeans,2294,2102,9577,11624,4800,15,0.65
2018-01-01,Northern,Lira,Soybeans,2466,1899,9944,11308,4345,25,0.66
2018-01-01,Northern,Nebbi,Soybeans,2410,1875,7935,13313,4541,21,0.66
2018-01-01,Northern,Lira,Sunflower,2523,1704,8735,12509,4977,14,0.64
2018-01-01,Northern,Kitgum,Cotton,2916,1911,9056,11294,5055,17,0.62
2018-01-01,Northern,Arua,Sunflower,2851,2217,8569,10574,5447,24,0.59
2018-01-01,Northern,Arua,Groundnuts,2755,2065,8615,10478,3898,17,0.61
2018-01-01,Northern,Arua,Matooke,2392,2028,7681,12008,4233,24,0.63
2018-01-01,Northern,Nebbi,Maize,2473,1983,7697,8806,5005,11,0.55
2018-01-01,Northern,Lira,Beans,3006,2128,7561,7261,5554,21,0.67
2018-01-01,Northern,Arua,Beans,3335,1915,6573,6356,4155,26,0.53
2018-01-01,Northern,Kitgum,Beans,3176,1742,8149,7431,4624,25,0.51
2018-01-01,Northern,Arua,Coffee,4634,2290,10173,13014,5564,20,0.62
2018-01-01,Northern,Gulu,Coffee,3757,2604,11107,11285,5714,20,0.61
2018-01-01,Northern,Nebbi,Matooke,2427,1660,9693,11310,4882,19,0.67
2018-01-01,Northern,Nebbi,Coffee,3827,2103,11011,12828,5603,26,0.57
2018-01-01,Northern,Kitgum,Rice,2209,1733,9150,14603,4338,13,0.55
2018-01-01,Northern,Arua,Rice,2388,2202,7696,10728,3392,17,0.51
2018-01-01,Northern,Arua,Cassava,2339,1752,7845,11492,4151,13,0.63
2018-01-01,Northern,Kitgum,Cassava,2838,1951,9513,11967,3963,16,0.62
2018-01-01,Northern,Lira,Cassava,2424,2041,9000,11482,4325,22,0.64
2018-01-01,Northern,Gulu,Matooke,2580,2276,9522,11462,5130,17,0.58
2018-01-01,Northern,Lira,Rice,2373,2057,10100,7908,4781,10,0.47
2018-01-01,Western,Mbarara,Maize,2930,2584,8825,9777,5050,70,0.69
2018-01-01,Western,Kabale,Maize,3530,1819,7945,9496,5989,92,0.68
2018-01-01,Western,Fort Portal,Maize,2964,2600,8922,10646,5697,56,0.73
2018-01-01,Western,Kabale,Sorghum,2704,2152,12411,12602,5073,72,0.72
2018-01-01,Western,Mbarara,Sorghum,2678,2225,11304,10911,3555,58,0.72
2018-01-01,Western,Fort Portal,Sweet Potatoes,2643,2643,9762,11130,4987,85,0.69
2018-01-01,Western,Hoima,Sweet Potatoes,2502,2293,10711,13542,5039,58,0.59
2018-01-01,Western,Kabale,Sweet Potatoes,3308,2141,11106,12089,4490,48,0.81
2018-01-01,Western,Kasese,Cotton,2431,2155,9741,13602,4611,104,0.76
2018-01-01,Western,Kasese,Sorghum,2940,2148,10438,11293,5265,73,0.71
2018-01-01,Western,Kabale,Cotton,2452,2079,9727,9802,4980,56,0.87
2018-01-01,Western,Hoima,Soybeans,2482,2084,11016,11081,4552,93,0.71
2018-01-01,Western,Mbarara,Soybeans,2567,2402,12120,12487,5244,86,0.73
2018-01-01,Western,Fort Portal,Soybeans,2513,2307,10880,9851,4397,75,0.7
2018-01-01,Western,Mbarara,Sunflower,3336,2017,11008,12790,4874,85,0.75
2018-01-01,Western,Kabale,Sunflower,2362,2095,10976,11474,4570,55,0.77
2018-01-01,Western,Kasese,Sunflower,2953,1926,10289,11069,5504,60,0.67
2018-01-01,Western,Mbarara,Cotton,2925,2061,10948,12625,4517,71,0.67
2018-01-01,Western,Mbarara,Groundnuts,2862,1986,9412,11876,4473,90,0.68
2018-01-01,Western,Kasese,Groundnuts,2653,2054,11032,14030,4231,54,0.72
2018-01-01,Western,Fort Portal,Groundnuts,3064,2586,9474,11747,5393,104,0.71
2018-01-01,Western,Fort Portal,Beans,3769,1618,6142,8929,4060,79,0.78
2018-01-01,Western,Hoima,Beans,3789,1770,8361,7492,4785,66,0.76
2018-01-01,Western,Kabale,Beans,2738,2082,8299,9576,4791,65,0.63
2018-01-01,Western,Hoima,Coffee,4269,2092,12769,13728,6009,64,0.83
2018-01-01,Western,Kabale,Coffee,4657,2465,13511,15953,5449,57,0.8
2018-01-01,Western,Kasese,Coffee,4656,2479,11689,13647,6768,51,0.92
2018-01-01,Western,Kasese,Rice,2812,1979,10728,12552,5747,71,0.73
2018-01-01,Western,Hoima,Rice,2607,2359,9367,13487,4890,72,0.85
2018-01-01,Western,Fort Portal,Rice,2526,2556,11570,13661,4570,89,0.68
2018-01-01,Western,Fort Portal,Cassava,2896,2233,10152,13177,4248,96,0.66
2018-01-01,Western,Kasese,Cassava,2697,2261,11355,13567,4556,64,0.72
2018-01-01,Western,Hoima,Cassava,2446,1949,9511,14142,5086,89,0.66
2018-01-01,Western,Mbarara,Matooke,2960,2187,10630,9907,5109,70,0.8
2018-01-01,Western,Hoima,Matooke,2936,2375,11254,12798,4839,60,0.8
2018-01-01,Western,Kasese,Matooke,2604,1865,10999,12777,5354,61,0.77
2018-01-01,Northern,Gulu,Maize,2892,2352,6127,10960,4853,21,0.65
2018-01-01,Northern,Kitgum,Maize,3142,1698,7138,9049,5220,14,0.51
2018-01-01,Northern,Nebbi,Sunflower,2585,2128,9105,11648,3946,20,0.5
2018-01-01,Eastern,Iganga,Sunflower,2730,2122,8647,13999,4569,57,0.74
2018-01-01,Central,Masaka,Groundnuts,3683,3046,14587,16849,6382,72,0.63
2018-01-01,Central,Masaka,Sorghum,3767,3130,13234,15092,6350,61,0.75
